-3.0		 24000.1875
-2.9		 19064.0651333828
-2.8		 15143.1637675246
-2.7		 12028.6811070545
-2.6		 9554.75959328394
-2.5		 7589.65388440411
-2.4		 6028.71493562299
-2.3		 4788.81705592531
-2.2		 3803.93116190667
-2.1		 3021.608488306
-2.0		 2404.56180791647
-1.9		 1910.96535442198
-1.8		 1518.88049101757
-1.7		 1207.42695178916
-1.6		 960.019017244867
-1.5		 763.482261916804
-1.4		 607.351961127708
-1.3		 483.315794610793
-1.2		 384.771169060763
-1.1		 306.47358562354
-1.0		 244.257326857459
-0.9		 194.813589020307
-0.8		 155.514244750862
-0.7		 124.271851234161
-0.6		 99.4284491735231
-0.5		 79.6672311310674
-0.4		 63.9423756922555
-0.3		 51.4233113161404
-0.2		 41.450442169363
-0.1		 33.4999786307192
0.0		 27.156
0.1		 22.0882620700457
0.2		 18.0345681343497
0.3		 14.7867649956704
0.4		 12.179618554884
0.5		 10.0819768731101
0.6		 8.3897503792362
0.7		 7.0203356252755
0.8		 5.90818582554486
0.9		 5.00129244483162
1.0		 4.25839057630224
1.1		 3.64673935405506
1.2		 3.14035922905249
1.3		 2.71863222994192
1.4		 2.3666690478776
1.5		 2.05505768203259
1.6		 1.79325080530802
1.7		 1.57217016288291
1.8		 1.38450961130366
1.9		 1.22437839596163
2.0		 1.08701716415724
2.1		 0.968571805654883
2.2		 0.86591327460121
2.3		 0.776493979231481
2.4		 0.698233258347716
2.5		 0.64350214665024
2.6		 0.596469168639487
2.7		 0.556854841591543
2.8		 0.523614904400348
2.9		 0.495904443775286
3.0		 0.473042324399955
3.1		 0.454483373578693
3.2		 0.437263473124783
3.3		 0.421285294704523
3.4		 0.407933714557392
3.5		 0.397568987717684
3.6		 0.39054798370412
3.7		 0.387261835904591
3.8		 0.388179682072967
3.9		 0.393901922085936
4.0		 0.405228516801891
4.1		 0.421195769042637
4.2		 0.43191272558951
4.3		 0.441607051997492
4.4		 0.450198454744339
4.5		 0.457614734886334
4.6		 0.463792797553054
4.7		 0.474368672151502
4.8		 0.48678366927931
4.9		 0.495979812405914
5.0		 0.501764579036708
5.1		 0.504015624736026
5.2		 0.502685085447009
5.3		 0.497801269708547
5.4		 0.489467657208091
5.5		 0.477859253151547
5.6		 0.110000000000003
5.7		 0.0800000000000002
5.8		 0.0900000000000001
5.9		 0.1
6.0		 0.11
6.1		 0.126453741222057
6.2		 0.139523412441585
6.3		 0.149905021309818
6.4		 0.15815142635572
6.5		 0.164701778718653
6.6		 0.169904908547923
6.7		 0.174037901480249
6.8		 0.177320854460311
6.9		 0.179928596705647
7.0		 0.182

