Max cost, Total cost, Insurer, Utility, Ratepayer
188.754041027319, 188.754041027319, -30.6229794863407, -50.0, 269.377020513659
271.597695153591, 339.497211882012, 34.748605941006, -30.0, 334.748605941006
7005.89108801399, 7903.83410108682, 793.233882081773, 211.475248909292, 6899.12497009576
117.809651812919, 146.736758474122, -56.631620762939, -40.0, 243.368379237061
268.37123625541, 507.127991712173, 99.8186171941986, 7.49075732377613, 399.818617194199
163.057473519176, 520.135821999883, 101.585077465105, 16.9656670696737, 401.585077465105
3552.50504030384, 3979.56453320801, 564.298479845655, 111.087785228043, 3304.17826813431
8764.09776092479, 8997.58404398823, 466.825598558699, 199.835085946039, 8330.92335948349
2209.58910240274, 2346.97158740352, 426.091528841129, 30.6788824386532, 1890.20117612373
40.9394135660458, 161.945314396177, -69.0273428019113, 0.0, 230.972657198089
12.3489235716594, 12.3489235716594, -118.82553821417, -50.0, 181.17446178583
110.292653326914, 251.758010813499, -14.1209945932504, -20.0, 285.87900540675
110.437537219023, 154.168018666403, -61.3134115839816, -23.2051581656337, 238.686588416018
6326.51847635212, 9077.88385145985, 1242.74372684903, 195.293896070483, 7639.84622854034
959.169211193878, 1030.22648191111, 366.165053592684, -2.1036252742566, 666.165053592684
4670.50235529494, 4708.41113117589, 383.954387940475, 138.525117764747, 4185.93162547067
186.371730861869, 387.697608043636, 45.4431043956884, -3.18860074774114, 345.443104395688
301.713268693064, 444.251402177873, 82.6227460618981, -20.9940899459235, 382.622746061898
275.680918859874, 289.980060617001, 12.8404594299371, -35.7008582428728, 312.840459429937
261.02015851015, 446.757886517443, 73.3789432587216, 0.0, 373.378943258722
4804.12422170999, 7480.696670797, 1000.9816422189, 200.43666931796, 6279.27835926014
1446.2650549631, 1750.81471827921, 517.274831658051, -20.0, 1253.53988662116
28.470776585303, 48.9517801906823, -108.926243169086, -33.1957334711452, 191.073756830914
41.0086383231271, 41.0086383231271, -104.495680838436, -50.0, 195.504319161564
143.87215570052, 185.464006356437, -47.2679968217814, -20.0, 252.732003178219
694.147976856124, 1841.83135362163, 761.504146398008, 18.8230608256197, 1061.50414639801
674.200721093504, 963.817074431504, 337.126824913128, -10.4365753947526, 637.126824913128
3119.66671522948, 3487.31835294446, 536.087791459127, 86.4593905581997, 2864.77117092714
2644.7141760852, 2665.50744931103, 381.260171352561, 25.5086393249734, 2258.7386386335
54.8613260241788, 85.9638044487437, -96.4961686692614, -21.0438582127335, 203.503831330739
95.8565380840745, 95.8565380840745, -77.0717309579627, -50.0, 222.928269042037
4314.84679131185, 4968.56542312025, 662.340036306753, 179.780898760492, 4126.44448805301
214.495301613454, 405.638083505159, 59.2957904527011, -12.9534974002432, 359.295790452701
796.778101546437, 1098.62684240229, 404.313421201147, -10.0, 704.313421201147
40.4278667137141, 40.4278667137141, -104.786066643143, -50.0, 195.213933356857
1608.79251754431, 1714.76770104023, 414.584802101586, -7.7547948300396, 1307.93769376868
2618.02901431742, 3078.18471530813, 583.205745029286, 53.187407206128, 2441.79156307271
383.458699385078, 442.040740762873, 78.2557252889878, -14.4707098151022, 378.255725288988
2677.62809478153, 3255.42810215816, 648.900003688316, 48.8814047390765, 2557.64669373077
3280.52059217225, 3354.94996715226, 408.818312924359, 49.3656670651772, 2896.76598716273
181.724449239223, 665.526522901957, 184.329947175415, -3.13337144887284, 484.329947175415
32.8206480342201, 84.0885613818173, -100.5968636078, -14.7177114025827, 199.4031363922
93.9258419747099, 201.155230076302, -46.6970895629483, -5.45059079780161, 253.302910437052
668.24967522394, 931.745064184537, 323.105822595996, -14.4665810074553, 623.105822595996
526.518340660215, 580.47225808895, 152.815732305444, -25.1592065219374, 452.815732305444
180.556959542374, 245.0935130601, -16.1426520406609, -22.6211828585783, 283.857347959339
175.043508055585, 379.97010222042, 44.9850511102101, -10.0, 344.98505111021
88.542699943801, 185.863400352417, -43.8699295849694, -26.3967404776441, 256.130070415031
87.3265436480589, 228.486547831537, -35.7567260842313, 0.0, 264.243273915769
1638.03283892882, 2689.75878831224, 876.232111290154, 7.36472828659644, 1806.16194873549
564.202775324913, 1062.33044828165, 391.165224140826, -20.0, 691.165224140826
275.453475432257, 357.939992424156, 26.7610695374222, 4.41785334931172, 326.761069537422
241.254348048279, 407.369674469886, 58.684837234943, -10.0, 358.684837234943
2907.54199444503, 4963.5675788061, 1063.56847498849, 91.9733601662181, 3808.02574365139
46.1350348565461, 176.289925315071, -64.545170048795, 5.3802654126614, 235.454829951205
1302.00819674964, 1370.52059500832, 399.25619912934, -20.0, 991.264395878982
53.3365939470255, 74.0216115130395, -92.9891942434802, -40.0, 207.01080575652
334.262296066714, 481.809783249965, 92.1068304307205, -2.40387761147622, 392.10683043072
815.554490891077, 1430.68585675339, 565.342928376696, 0.0, 865.342928376696
288.261902562969, 760.535633133933, 225.267816566967, 10.0, 525.267816566967
360.176063552708, 1059.37624638711, 371.963201816632, 15.4498427538475, 671.963201816632
490.868837334107, 505.28757414553, 122.643787072765, -40.0, 422.643787072765
2155.34082341144, 2838.80049767289, 691.729837130723, 42.767041170572, 2104.30361937159
6227.79606703957, 6238.54501061952, 380.374471789976, 150.0, 5708.17053882955
6506.88892442235, 8386.13109159842, 553.666952636284, 186.796233990286, 7645.66790497185
708.109519494009, 1293.78607275738, 489.38024592562, 15.0255809061369, 789.38024592562
166.263765717575, 290.336642208512, -8.35508882096937, 7.04681985045055, 291.644911179031
244.280899070682, 391.600642814001, 55.8003214070003, -20.0, 355.800321407
1538.02285386649, 2023.64633950123, 597.81174281737, 1.90114269332442, 1423.93345399053
